Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2019-03-05T20:55:00Z,"META",2019-03-11T19:55:00Z,Buy,170.373014427,170.601223578,518,118.21,5.18,-2657.21,1305.48,3525.81,1,"	87,88" 
2019-03-11T19:55:00Z,"GOOGL",2019-03-13T19:55:00Z,Buy,58.3909021458,59.470975395,1514,1635.23,15.14,-2064.69,2215.6,4280.28,1,"	89,90" 
2019-03-13T19:55:00Z,"NVDA",2019-03-14T19:55:00Z,Buy,4.1858511295,4.102223442125,21480,-1796.32,214.8,-1796.32,330.48,2126.8,0,"	91,92" 
2019-03-14T19:55:00Z,"AAPL",2019-03-18T19:55:00Z,Buy,43.800850386,44.763192324,2009,1933.34,20.09,-81.35,2148.69,636.47,1,"	93,94" 
2019-03-18T19:55:00Z,"AMZN",2019-03-19T19:55:00Z,Buy,86.915117653,87.819491004,1034,935.12,10.34,-77.37,2134.84,1432.86,1,"	95,96" 
2019-03-19T19:55:00Z,"NVDA",2019-03-21T19:55:00Z,Buy,4.353602811,4.583640989625,20843,4794.69,208.43,-1215.48,4939.51,2834.4,1,"	97,98" 
2019-03-21T19:55:00Z,"AAPL",2019-03-22T19:55:00Z,Buy,46.6473816135,45.554027778,2045,-2235.91,20.45,-2308.98,813.5,3122.48,0,"	99,100" 
2019-03-22T19:55:00Z,"NVDA",2019-03-25T19:55:00Z,Buy,4.4062113265,4.305212902875,21122,-2133.29,211.22,-3291.66,387.87,3679.53,0,"	101,102" 
2019-03-25T19:55:00Z,"AAPL",2019-03-26T19:55:00Z,Buy,44.929934739,44.363010528,2021,-1145.75,20.21,-1786.03,1978.59,3764.62,0,"	103,104" 
2019-03-26T19:55:00Z,"AMZN",2019-03-27T19:55:00Z,Buy,88.778236498,87.964649661,1009,-820.91,10.09,-1621.18,341.25,1962.43,0,"	105,106" 
2019-03-27T19:55:00Z,"MSFT",2019-03-28T19:55:00Z,Buy,109.35972495,109.76285124,812,327.34,8.12,-373.01,601.39,974.4,1,"	107,108" 
2019-03-28T19:55:00Z,"AMZN",2019-03-29T19:55:00Z,Buy,88.470460239,88.693934735,1007,225.04,10.07,-41.19,943.86,771.56,1,"	109,110" 
2019-03-29T19:55:00Z,"META",2019-04-05T19:55:00Z,Buy,165.134126091,174.024360843,541,4809.62,5.41,0,6183.79,2651.73,1,"	111,112" 
2019-04-05T19:55:00Z,"NVDA",2019-04-09T19:55:00Z,Buy,4.733525628125,4.696798928625,19871,-729.8,198.71,-1548.35,922.11,2470.46,0,"	113,114" 
2019-04-09T19:55:00Z,"AAPL",2019-04-15T19:55:00Z,Buy,47.554936758,47.388194343,1960,-326.82,19.6,-1536.03,560.25,2096.29,0,"	115,116" 
2019-04-15T19:55:00Z,"META",2019-04-17T19:55:00Z,Buy,178.280957616,177.348276738,521,-485.93,5.21,-661.69,496.27,1157.95,0,"	117,118" 
2019-04-17T19:55:00Z,"AAPL",2019-04-18T19:55:00Z,Buy,48.4243793505,48.5196607305,1907,181.7,19.07,-308.89,367.95,554.19,1,"	119,120" 
2019-04-18T19:55:00Z,"MSFT",2019-04-25T19:55:00Z,Buy,115.6878702,121.34101329,800,4522.51,8,-405,5722.52,1597.51,1,"	121,122" 
